sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
33.577;525;;60s;Yes;No;3;0.63620;0.97987;0.00000;0.30933;2.41019;Mercury@377496688;Group11@1334478312;ParsAgent@257780516;0.6362000000000001;0.794119562887315;0.9798741622972705;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
59.531;924;;60s;Yes;No;3;0.70421;0.93500;0.00000;0.34335;2.35841;Mercury@1523678346;ParsAgent@49216255;Group11@455530374;0.9349999999999999;0.7042127493596945;0.719200788494047;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
43.291;770;;60s;Yes;No;3;0.75255;0.88740;0.00000;0.22066;2.45286;ParsAgent@1562226911;Mercury@984722917;Group11@1776744673;0.8874;0.8129124449590391;0.752547362069993;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
45.949;735;;60s;Yes;No;3;0.76732;0.83240;0.04114;0.23996;2.37239;ParsAgent@1440367645;Group11@696901270;Mercury@443834152;0.8324;0.7673172546180469;0.7726731997727223;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
35.048;453;;60s;Yes;No;3;0.78020;1.00000;0.00000;0.00000;2.57962;Group11@795825328;ParsAgent@908134180;Mercury@2113430996;0.7802;1.0;0.7994156026764689;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
58.240;943;;60s;Yes;No;3;0.76607;0.89130;0.00000;0.12326;2.48517;Group11@1865627968;Mercury@200528329;ParsAgent@377598427;0.8278;0.8913003044006554;0.766069029100523;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
33.524;518;;60s;Yes;No;3;0.63620;0.97987;0.00000;0.30933;2.41019;Mercury@142372682;Group11@155999171;ParsAgent@771158638;0.6362000000000001;0.794119562887315;0.9798741622972705;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
60.000;997;;60s;No;No;1;0.00000;0.00000;1.30291;1.49926;0.00000;Mercury@2033636440;ParsAgent@1852956409;Group11@1208700420;0.0;0.0;0.0;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
41.871;845;;60s;Yes;No;3;0.70421;0.93500;0.00000;0.34335;2.35841;ParsAgent@1835896838;Mercury@873116170;Group11@182903010;0.9349999999999999;0.7042127493596945;0.719200788494047;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
45.791;819;;60s;Yes;No;3;0.65144;0.91280;0.00000;0.24228;2.42560;ParsAgent@728870399;Group11@1081624285;Mercury@410286140;0.9128;0.8613680455488991;0.6514356915112353;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
35.015;383;;60s;Yes;No;3;0.78020;1.00000;0.00000;0.00000;2.57962;Group11@38410374;ParsAgent@1318061718;Mercury@1369475621;0.7802;1.0;0.7994156026764689;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
